# cmb_I cmb_Q cmb_U pow_I pow_Q pow_U genmbb_I genmbb_Q genmbb_U sync_beta gdust_beta gdust_dbeta gdust_Td1 gdust_Td2 gdust_fI gdust_fQ
5.139339e+01 6.222039e-01 5.701337e-01 3.164792e+01 1.079465e+01 9.696269e+00 6.169243e+02 9.015303e+01 8.984105e+01 -3.204573e+00 1.529478e+00 1.911830e-01 1.762636e+01 2.435484e+01 9.544892e-01 1.024896e+00
4.988410e+01 5.811517e-01 5.699371e-01 2.996141e+01 1.028007e+01 1.012580e+01 6.060518e+02 9.335770e+01 8.947833e+01 -3.174142e+00 1.583535e+00 1.997962e-01 1.757378e+01 2.433353e+01 9.632628e-01 1.022683e+00
4.988410e+01 5.811517e-01 5.699371e-01 2.996141e+01 1.028007e+01 1.012580e+01 6.060518e+02 9.335770e+01 8.947833e+01 -3.174142e+00 1.583535e+00 1.997962e-01 1.757378e+01 2.433353e+01 9.632628e-01 1.022683e+00
4.988410e+01 5.811517e-01 5.699371e-01 2.996141e+01 1.028007e+01 1.012580e+01 6.060518e+02 9.335770e+01 8.947833e+01 -3.174142e+00 1.583535e+00 1.997962e-01 1.757378e+01 2.433353e+01 9.632628e-01 1.022683e+00
4.988410e+01 5.811517e-01 5.699371e-01 2.996141e+01 1.028007e+01 1.012580e+01 6.060518e+02 9.335770e+01 8.947833e+01 -3.174142e+00 1.583535e+00 1.997962e-01 1.757378e+01 2.433353e+01 9.632628e-01 1.022683e+00
5.710124e+01 6.394442e-01 5.239402e-01 3.539081e+01 1.148884e+01 8.709538e+00 5.692641e+02 9.453009e+01 8.646120e+01 -3.237288e+00 1.522675e+00 1.857084e-01 1.725203e+01 2.568980e+01 8.625916e-01 1.069901e+00
5.902195e+01 6.660166e-01 5.035985e-01 3.672756e+01 1.166301e+01 8.274912e+00 5.640749e+02 9.436961e+01 8.560742e+01 -3.315789e+00 1.487442e+00 1.909508e-01 1.725565e+01 2.614209e+01 8.492724e-01 1.084891e+00
6.617964e+01 7.058218e-01 4.536176e-01 4.067001e+01 1.212707e+01 6.942345e+00 5.437305e+02 9.533062e+01 8.399601e+01 -3.398544e+00 1.454083e+00 1.904665e-01 1.677905e+01 2.744130e+01 7.839935e-01 1.117217e+00
6.617964e+01 7.058218e-01 4.536176e-01 4.067001e+01 1.212707e+01 6.942345e+00 5.437305e+02 9.533062e+01 8.399601e+01 -3.398544e+00 1.454083e+00 1.904665e-01 1.677905e+01 2.744130e+01 7.839935e-01 1.117217e+00
6.617964e+01 7.058218e-01 4.536176e-01 4.067001e+01 1.212707e+01 6.942345e+00 5.437305e+02 9.533062e+01 8.399601e+01 -3.398544e+00 1.454083e+00 1.904665e-01 1.677905e+01 2.744130e+01 7.839935e-01 1.117217e+00
6.617964e+01 7.058218e-01 4.536176e-01 4.067001e+01 1.212707e+01 6.942345e+00 5.437305e+02 9.533062e+01 8.399601e+01 -3.398544e+00 1.454083e+00 1.904665e-01 1.677905e+01 2.744130e+01 7.839935e-01 1.117217e+00
